id,date,season_id,year,month,is_holiday,weekday,is_workingday,weather_condition,temperature,feels_like_temp,humidity,wind_speed,total_users
1,2018-01-01,1,0,1,0,6,0,2,14.110847,18.18125,80.5833,10.749882,985
2,2018-01-02,1,0,1,0,0,0,2,14.902598,17.68695,69.6087,16.652113,801
3,2018-01-03,1,0,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,1349
4,2018-01-04,1,0,1,0,2,1,1,8.2,10.6061,59.0435,10.739832,1562
5,2018-01-05,1,0,1,0,3,1,1,9.305237,11.4635,43.6957,12.5223,1600
6,2018-01-06,1,0,1,0,4,1,1,8.378268,11.66045,51.8261,6.0008684,1606
7,2018-01-07,1,0,1,0,5,1,2,8.057402,10.44195,49.8696,11.304642,1510
8,2018-01-08,1,0,1,0,6,0,2,6.765,8.1127,53.5833,17.875868,959
9,2018-01-09,1,0,1,0,0,0,1,5.671653,5.80875,43.4167,24.25065,822
10,2018-01-10,1,0,1,0,1,1,1,6.184153,7.5444,48.2917,14.958889,1321
11,2018-01-11,1,0,1,0,2,1,2,6.932731,9.5732,68.6364,8.182844,1263
12,2018-01-12,1,0,1,0,3,1,1,7.081807,8.02365,59.9545,20.410009,1162
13,2018-01-13,1,0,1,0,4,1,1,6.765,7.54415,47.0417,20.167,1406
14,2018-01-14,1,0,1,0,5,1,1,6.59567,9.42065,53.7826,8.478716,1421
15,2018-01-15,1,0,1,0,6,0,2,9.566653,12.4056,49.875,10.583521,1248
16,2018-01-16,1,0,1,0,0,0,1,9.498347,11.71085,48.375,12.625011,1204
17,2018-01-17,1,0,1,1,1,0,2,7.209153,8.83855,53.75,12.999139,1000
18,2018-01-18,1,0,1,0,2,1,2,8.883347,11.61665,86.1667,9.833925,683
19,2018-01-19,1,0,1,0,3,1,2,11.979134,14.9211,74.1739,13.957239,1650
20,2018-01-20,1,0,1,0,4,1,2,10.728347,12.7525,53.8333,13.125568,1927
21,2018-01-21,1,0,1,0,5,1,1,7.2775,7.89165,45.7083,23.667214,1543
22,2018-01-22,1,0,1,0,6,0,1,2.4243464,3.95348,40.0,11.52199,981
23,2018-01-23,1,0,1,0,0,0,1,3.9573897,4.941955,43.6522,16.5222,986
24,2018-01-24,1,0,1,0,1,1,1,3.9930433,5.8965,49.1739,10.60811,1416
25,2018-01-25,1,0,1,0,2,1,2,9.162598,11.7263,61.6957,8.696332,1985
26,2018-01-26,1,0,1,0,3,1,3,8.9175,10.18,86.25,19.68795,506
