iter	Passed	Remaining
0	38	38173
1	77	38885
2	122	40683
3	160	40021
4	198	39477
5	233	38748
6	271	38456
7	306	38050
8	344	37982
9	370	36655
10	406	36533
11	442	36405
12	471	35818
13	506	35676
14	545	35827
15	584	35954
16	621	35952
17	658	35942
18	699	36125
19	737	36128
20	774	36117
21	812	36115
22	848	36063
23	890	36198
24	927	36172
25	970	36340
26	1018	36714
27	1092	37925
28	1162	38914
29	1207	39049
30	1257	39318
31	1314	39768
32	1348	39508
33	1389	39484
34	1436	39620
35	1453	38930
36	1504	39155
37	1520	38492
38	1564	38560
39	1600	38407
40	1643	38436
41	1686	38460
42	1730	38524
43	1773	38540
44	1815	38519
45	1858	38541
46	1902	38574
47	1931	38309
48	1979	38410
49	2022	38431
50	2066	38462
51	2126	38759
52	2162	38643
53	2199	38539
54	2245	38586
55	2289	38601
56	2336	38661
57	2385	38742
58	2425	38689
59	2457	38506
60	2497	38437
61	2536	38376
62	2579	38357
63	2622	38358
64	2660	38272
65	2691	38087
66	2722	37912
67	2766	37921
68	2807	37884
69	2854	37923
70	2907	38044
71	2959	38150
72	3010	38232
73	3062	38318
74	3112	38387
75	3167	38504
76	3218	38579
77	3272	38683
78	3327	38791
79	3383	38914
80	3434	38969
81	3480	38964
82	3519	38889
83	3559	38818
84	3593	38678
85	3612	38394
86	3653	38344
87	3697	38315
88	3747	38363
89	3792	38344
90	3832	38281
91	3867	38172
92	3911	38148
93	3951	38088
94	3971	37830
95	4013	37793
96	4065	37845
97	4108	37810
98	4149	37764
99	4188	37699
100	4212	37497
101	4251	37427
102	4290	37364
103	4317	37196
104	4359	37156
105	4399	37101
106	4439	37052
107	4482	37018
108	4521	36957
109	4548	36797
110	4580	36686
111	4629	36704
112	4668	36645
113	4707	36590
114	4748	36540
115	4775	36395
116	4816	36347
117	4857	36309
118	4899	36273
119	4939	36221
120	4978	36169
121	5019	36124
122	5033	35892
123	5075	35856
124	5115	35807
125	5154	35753
126	5186	35655
127	5226	35607
128	5266	35555
129	5304	35501
130	5341	35432
