home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_lost,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_con,status
Spain,1,0,Czechoslovakia,0,488.0,60.0,33.0,19.0,4.0,10.0,27.0,1
Portugal,1,0,Czechoslovakia,0,438.0,113.0,0.0,3.0,-4.0,1.0,-10.0,1
Northern Ireland,7,0,Wales,0,-373.0,-136.0,8.0,2.0,4.0,2.0,19.0,1
Italy,4,2,Switzerland,0,-438.0,-259.0,46.0,33.0,0.0,13.0,13.0,1
Portugal,2,0,France,0,-191.0,-61.0,-36.0,-20.0,-9.0,-7.0,-42.0,1
Germany,0,2,Italy,0,517.0,106.0,26.0,22.0,5.0,-1.0,48.0,3
France,3,3,Switzerland,0,12.0,-106.0,29.0,22.0,2.0,5.0,13.0,2
England,5,2,Scotland,0,558.0,29.0,46.0,25.0,7.0,14.0,23.0,1
Netherlands,1,1,Italy,0,411.0,125.0,-33.0,-18.0,-6.0,-9.0,-29.0,2
France,1,6,Belgium,0,53.0,-28.0,18.0,14.0,0.0,4.0,5.0,3
Switzerland,2,2,Hungary,0,502.0,221.0,5.0,-3.0,3.0,5.0,7.0,2
Netherlands,2,2,Belgium,0,14.0,-56.0,2.0,7.0,-8.0,3.0,-24.0,2
Switzerland,0,5,Germany,0,-79.0,153.0,-72.0,-55.0,-5.0,-12.0,-61.0,3
Germany,3,3,England,0,-102.0,2.0,40.0,38.0,3.0,-1.0,61.0,2
Belgium,1,3,Republic of Ireland,0,484.0,147.0,35.0,18.0,16.0,1.0,62.0,3
France,2,3,Czechoslovakia,0,629.0,174.0,36.0,23.0,5.0,8.0,32.0,3
Austria,0,0,England,0,-726.0,-65.0,-40.0,-17.0,-6.0,-17.0,-17.0,2
Belgium,3,1,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,1
France,0,2,Scotland,0,389.0,78.0,43.0,30.0,7.0,6.0,36.0,3
Argentina,1,1,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,2
Belgium,1,2,France,0,-53.0,28.0,-18.0,-14.0,0.0,-4.0,-5.0,3
Japan,3,3,China PR,0,469.0,94.0,21.0,5.0,11.0,5.0,29.0,2
Belgium,2,1,Portugal,0,138.0,89.0,18.0,6.0,9.0,3.0,37.0,1
Hungary,6,2,Netherlands,0,-475.0,-87.0,-18.0,-12.0,3.0,-9.0,9.0,1
Czechoslovakia,2,0,Spain,0,-488.0,-60.0,-33.0,-19.0,-4.0,-10.0,-27.0,1
Sweden,1,0,Switzerland,0,-424.0,-193.0,14.0,7.0,2.0,5.0,9.0,1
Finland,1,6,Denmark,0,-574.0,-123.0,-20.0,-9.0,-6.0,-5.0,-26.0,3
Norway,3,0,Switzerland,0,-518.0,-192.0,-29.0,-10.0,-14.0,-5.0,-56.0,1
Denmark,6,1,Sweden,0,439.0,128.0,-31.0,-10.0,-13.0,-8.0,-47.0,1
Italy,2,3,Spain,0,-309.0,-39.0,20.0,15.0,-1.0,6.0,5.0,3
Brazil,3,2,France,0,101.0,-88.0,43.0,39.0,-1.0,5.0,28.0,1
Argentina,3,1,Yugoslavia,0,768.0,133.0,44.0,27.0,10.0,7.0,47.0,1
Brazil,4,1,Yugoslavia,0,746.0,85.0,72.0,57.0,5.0,10.0,59.0,1
Brazil,4,3,United States,0,216.0,-92.0,76.0,65.0,-1.0,12.0,43.0,1
Denmark,6,3,Germany,0,-64.0,88.0,-89.0,-58.0,-16.0,-15.0,-99.0,1
Belgium,2,3,Czechoslovakia,0,576.0,202.0,18.0,9.0,5.0,4.0,27.0,3
Norway,1,0,Denmark,0,-533.0,-127.0,-12.0,-7.0,-3.0,-2.0,-18.0,1
Belgium,2,2,Sweden,0,383.0,115.0,-3.0,1.0,0.0,-4.0,-1.0,2
Germany,5,3,Hungary,0,581.0,68.0,77.0,52.0,8.0,17.0,68.0,1
Sweden,0,3,Poland,0,-443.0,-112.0,17.0,3.0,6.0,8.0,28.0,3
England,5,1,Northern Ireland,0,664.0,1.0,56.0,26.0,14.0,16.0,41.0,1
Scotland,1,1,Wales,0,-267.0,-164.0,18.0,3.0,11.0,4.0,37.0,2
Poland,6,0,Latvia,0,755.0,206.0,34.0,16.0,13.0,5.0,45.0,1
Germany,1,1,Norway,0,597.0,39.0,101.0,65.0,19.0,17.0,117.0,2
Switzerland,6,3,Netherlands,0,27.0,134.0,-13.0,-15.0,6.0,-4.0,16.0,1
Wales,0,4,England,0,-291.0,135.0,-64.0,-28.0,-18.0,-18.0,-60.0,3
Portugal,0,1,Spain,0,-50.0,53.0,-33.0,-16.0,-8.0,-9.0,-37.0,3
France,2,2,Belgium,0,53.0,-28.0,18.0,14.0,0.0,4.0,5.0,2
