review_text,review_score
"Those hoping for 90° Kirby won’t get it in BoxBoy, but those looking for BoxBoy—puzzle-solving, muted box-making extraordinaire—need not look any further. Kirby is not up to this task. Unless, of course, Kirby eats BoxBoy and acquires his powers. Then Kirby might do just fine.",8
"For something intended to be played many times, Error Unknown has a tendency to drag on. It would have benefitted from tightening up, each ‘run’ lasting fewer days in order to maximise novelty and minimise repetition. But despite having more than a few bugs in its execution, Tech Support: Error Unknown just about qualifies as a minimum viable product. Ticket completed.",6
"Rainbow Skies is the new game from SideQuest Studios, and an indirect sequel to Rainbow Moon. This is an old-school tactical RPG with tons of quest and characters to collect and develop.",7
"Romance of the Three Kingdoms is the umpteenth demonstration of the unfortunate union between gamepad and strategic games. The developers have thought of a great product, with many potentialities on paper. The title is destroyed by the bad mapping of controls and a not so impressive technical realization.",4
"Batman Arkham Knight is the best entry in the series. Rocksteady knows perfectly how to explode the formula established years ago, making amazing additions in terms of gameplay. You must play this game.",9
"If Troy isn't the best Total War, it's one of the most convincing Total War Saga games. Overall the recipe for the IP doesn't change much, which is a bit sad for newcomers, but will delight the fans of the series.",8
"After playing this game, I don't think I will even think I'll ever lay eyes on rollercoaster tycoon again even if it did just launch onto the Xbox not to long ago. I think I will stick with this game.",7
"There are more than enough game variants here to keep you happy, playable in a convoy of fully customisable off-road vehicles and across some really detailed and expansive terrain. Check it out, it's the ultimate backseat drive.",7
What the…? The original fascination we had with the franchise as a well rounded karaoke party game is gone. From all that was good almost nothing remains. I want my old SingStar back.,3
"MC II should ship with a free sample of Ritalin. The amount of concentration required to maintain control of your car at such incomprehensibly high speeds almost requires some sort of chemical assistance (just joking kids). [June 2003, p.66]",6
"Although it could have been much better than it actually is, Final Fantasy XIII-2 proves to be a well-crafted product that compensates for gamers' disappointment over Final Fantasy XIII.",7
"Fans of Starship Troopers and PvE shootouts should definitely have Extermination in their sights. It offers successful PvE multiplayer, where the piles of dead arachnids that remain there fascinate. However, there could have been more maps and singleplayer is boring and not even Casper Van Dien can save it.",7
"The detractions are small but numerous. The poor handling of branded aftermarket parts, lack of real-life tracks, and tediousness of switching from racing to tuning are tops in the small flaws department.",5
"A cursory glance at Dragon Throne often urges people to write it off as an ""Age of Empires"" clone. However, it is a sophisticated RTS title and handles its many layers much better than comparable RTS titles.",7
"For hardcore baseball simulation fans, I have no problem recommending MLB Power Pros 2008 – but for families looking for an extension of Nintendo’s incredible Wii Sports, I would recommend looking towards titles like Little League World Series 2008 or Mario Super Sluggers that fully embrace the Wii’s model and functionality.",7
"Despite the shallow graphics, the new Supreme Ruler is a solid and incredibly depth strategy game that will appeal to every fan. On the other hand the new players will be overwhelmed by its complexity due to the complete lack of a tutorial.",6
"Much like TV's Strictly Come Dancing, Just Dance 2014 adopts the same tried and tested formula that has seen it become one of this generation's premiere party games. It doesn't take any risks and fails to innovate, but thanks to its superb soundtrack, hilarious dance routines and much-needed online mode, it's worth dusting off those dancing shoes for one last jive.",6
"An alloy of several winning gaming formulas, combing great graphics, wonderful sound, and deep, engrossing game play. And though it may not appeal right away to those of short attention spans, given a chance, you&#146;ll find yourself being sucked into it, enjoying it to its fullest extent.",8
"If you hated its predecessor you will surely not warm up to this sequel. On the other hand Serah and Noel do a lot better than Lightning and her friends in Final Fantasy XIII. Here's more to do, more to discover, more roleplaying.",7
"From storytelling to game design, Those Who Remain's tepid approach to its overabundant tropes made me want to leave Dormont as soon as I arrived. My best advice to horror fans: ignore the exit—even if your tank is running low.",4
"Packed with a bevy of features, TimeSplitters Future Perfect is a cornucopia of candy-coated goodness for any FPS fan. If you start now, you just might be able to unlock everything by the time ""Halo 3"" ships to stores.",8
"Unfortunately the only thing that differentiates Kill Team from other twin-stick shooters is the Warhammer 40,000 universe. The game is very short and you can find fault in its every element. [August 2011, p.72]",6
"Like ZEN Studios' previous offerings, Zen Pinball 3D reproduces the best aspects of pinball beautifully, and the 3D truly adds to the enjoyment and gets you that much closer to feeling like you're playing real pinball.",7
"The gameplay of Puzzle Bobble never gets old, and in Everybubble it’s no different. Popping bubbles is just as much fun as it was in the 1990s: almost 30 years later, and it’s as enjoyable as ever. Puzzle Bobble Everybubble offers up a well-rounded package with plenty of modes to jump into, with Baron’s Tower and the joyous Space Invaders twist giving players reason to keep jumping back in long after the story mode has been completed. What’s not to like, really?",8
"Scooby-Doo: Mystery Mayhem just isn&#146;t much fun. Blame it on its repetitive nature, the bad level design, the lame gameplay mechanics, the poor controls, or the collection mentality that composes a large part of the game &#150; blame it on something because there&#146;s no denying that Scooby-Doo: Mystery Mayhem is a huge bore-fest.",8
I wasn’t much a fan of episodic content before this game. I didn’t think they could include enough to warrant a $20 price tag but SiN Episodes: Emergence has gone a long way towards disproving that assumption.,5
As annoying as the high tolerance level and missing error analysis are: Just Dance 2014 is the best rhythm game when it comes to the pure joy of moving to music – especially in a group.,7
Nothing but a copycat of the original Tropico game comes with small arrangements like a road building system or 3D visuals. Yet it is a catchy and reliable “dictatorship” game. [Nov 2009],6
"Sadly, even loading an MP3 of ‘90s favorite “Mr. Jones” by Counting Crows didn’t make any of these four music mini-games and passive experiences any less boring or more bearable. If my friends came over to check out my new $400 VR headset, Harmonix Music VR is the last thing I’d want to show them.",6
"Little Witch Academia: Chamber of Time represents the show it is based on incredibly well when it comes to the look and the characters. That’s all it gets right, though, as the gameplay is just frustrating and tedious.",7
