review_text,review_score
"There’s a lot to enjoy here in a well-rounded package, with plenty of replay value thanks to the range of different heroes, collectibles and high-scores to aim for, as well as the online and offline multiplayer options.",8
"Like ZEN Studios' previous offerings, Zen Pinball 3D reproduces the best aspects of pinball beautifully, and the 3D truly adds to the enjoyment and gets you that much closer to feeling like you're playing real pinball.",7
"The Great Escape is saved by a few good set-pieces and the licence, but it's hard not to feel hard done by. Those willing to endure yet another stealth game could find their morale ebbing away by the end of this. [Sept 2003]",4
"The gameplay of Puzzle Bobble never gets old, and in Everybubble it’s no different. Popping bubbles is just as much fun as it was in the 1990s: almost 30 years later, and it’s as enjoyable as ever. Puzzle Bobble Everybubble offers up a well-rounded package with plenty of modes to jump into, with Baron’s Tower and the joyous Space Invaders twist giving players reason to keep jumping back in long after the story mode has been completed. What’s not to like, really?",9
"For something intended to be played many times, Error Unknown has a tendency to drag on. It would have benefitted from tightening up, each ‘run’ lasting fewer days in order to maximise novelty and minimise repetition. But despite having more than a few bugs in its execution, Tech Support: Error Unknown just about qualifies as a minimum viable product. Ticket completed.",5
"In motion, it's a painfully beautiful game: in the saturated richness of its colours and the raw exuberance of its backdrops; in the soaring melody of Magical Sound Shower and the husky elocution of the girl who voices the menus; in the hard, brilliant, arcade brashness of it all; above all, in the unique balance and beauty of its handling.",9
"Sports Bar VR is fun for the price. It's super cheap and most of the games work ok. The biggest annoyances come from moving around the bar, and re-positioning yourself to better play the game.",6
"Röki pretends to be smarter - and more emotional - than it really is. As hard as it tries to impress and touch, it left me feeling as if I had eaten a plate of stale pickled herrings. Röki has gameplay and pacing issues but the biggest annoyance is that the lovable character you will play as has not been given any humanly worth beyond her obsessive mission. Maybe I take things too emotionally but overall, when reaching the unfortunately cliched ending after 14 hours of playing, I felt I could have spent that time better. While I enjoyed the game in parts and admired its enchanting look, it left a sour taste in my mouth.",4
"I highly recommend playing Go Mecha Ball — just know that it’s more limited than it might seem on the surface. I’d probably feel better about the game if it were a short, linear experience with crafted levels instead of a roguelike, and in its current form, just a few small updates to add a bit of variety would be enough to pique my interest again. Even now, I’m certain that I’ll be dusting it back off in a few months when the experience isn’t so fresh in my mind. As a way to spend a few blissfully chaotic nights, it’s hard to do better than Go Mecha Ball, even if it falls a bit short of greatness.",7
"Despite its lack of cooperative or PVP gameplay, I don't think it's hyperbolic to say that this is an essential game for 2022. Blending two opposing styles into an expertly executed bullet ballet, Rollerdrome's future is anything but dystopian.",9
