filename,xmin,ymin,xmax,ymax,ocr_text,worth_ocr
Cars0.png,226,125,419,173,KLG1CA2555,1
Cars1.png,134,128,262,160,PGoMN112,1
Cars10.png,140,5,303,148,[NO TEXT],0
Cars100.png,175,114,214,131,[NO TEXT],0
Cars101.png,167,202,240,220,HR 26 BC 55I4,1
Cars102.png,66,147,322,199,6861136,1
Cars103.png,230,129,248,134,[NO TEXT],0
Cars104.png,195,266,244,282,NL60LXB,1
Cars105.png,152,147,206,159,SBA1234A,1
Cars106.png,138,79,177,92,[NO TEXT],0
Cars107.png,141,113,311,164,MH 20 BQ 20,1
Cars108.png,158,216,277,248,MHO 1 AV8866,1
Cars109.png,115,116,278,153,CZ17 KOD,1
Cars11.png,131,206,273,234,WOR 516K,1
Cars110.png,286,133,328,159,F1,1
Cars111.png,319,165,478,204,MH 20 EE 7598,1
Cars112.png,49,135,164,191,SHAKNBK,1
Cars113.png,151,113,306,180,MPEACHW,1
Cars115.png,315,287,407,311,M666 YOB,1
Cars114.png,7,16,493,256,[NO TEXT],0
Cars116.png,149,218,267,247,MK-35-32,1
Cars117.png,42,126,86,137,[NO TEXT],0
Cars118.png,193,165,394,217,JA62 UAR,1
Cars119.png,187,140,217,153,[NO TEXT],0
Cars12.png,122,82,277,117,MH12BG7237,1
Cars120.png,159,178,250,200,B 2228HM,1
Cars121.png,336,192,357,204,[NO TEXT],0
Cars122.png,195,147,254,169,MANISA,1
Cars123.png,159,221,237,242,HR 26 BC 5514,1
Cars124.png,305,256,320,267,[NO TEXT],0
Cars125.png,280,196,355,257,RP66887,0
Cars126.png,103,99,293,201,KA G5MG1909,1
Cars127.png,360,166,383,181,[NO TEXT],0
Cars128.png,112,65,306,173,OX65 AWD,1
Cars129.png,204,213,282,267,OPEC LOL,1
Cars13.png,191,147,242,169,BJR216,1
Cars130.png,91,110,166,140,HR 26 BR 9044,1
Cars131.png,19,29,497,245,[NO TEXT],0
Cars132.png,23,190,56,198,[NO TEXT],0
Cars133.png,247,185,375,223,1268,1
Cars134.png,76,151,133,174,[NO TEXT],1
Cars135.png,260,184,319,211,[NO TEXT],0
Cars136.png,164,104,245,119,15474,1
Cars137.png,178,181,204,191,[NO TEXT],0
Cars138.png,153,141,254,185,[NO TEXT],0
Cars139.png,315,189,337,197,[NO TEXT],0
Cars14.png,94,118,274,163,ALR 486,1
Cars140.png,283,239,424,286,CH01AN0001,1
Cars141.png,266,169,307,188,[NO TEXT],0
Cars142.png,178,124,273,144,[NO TEXT],0
Cars143.png,93,196,130,207,FU3346,1
Cars144.png,101,114,215,154,PEN15,1
Cars145.png,282,236,422,283,CH01AN0001,1
Cars146.png,143,263,170,271,[NO TEXT],0
Cars148.png,135,134,218,158,MH01BB550,1
Cars149.png,212,182,245,203,7VI6263,1
Cars15.png,310,146,372,171,TN21BY0166,1
Cars150.png,122,198,262,232,DL8CX 4850,1
Cars151.png,54,135,120,178,DL3CBD5092,1
Cars152.png,92,258,199,284,DL49 AK49,1
Cars153.png,146,118,311,170,MH 20BQ20,1
Cars154.png,70,197,264,265,2662,1
Cars155.png,150,177,203,190,MCB025,1
Cars156.png,114,78,230,102,PRIV ATE,1
Cars157.png,330,152,366,179,PYB557K,1
Cars158.png,97,118,296,210,695299,1
Cars159.png,149,184,261,211,DL7CN5617,1
Cars16.png,36,175,62,186,[NO TEXT],0
Cars160.png,209,137,281,174,OO7PLATE.COM,1
Cars161.png,312,283,406,311,M666 YOB,1
Cars162.png,201,168,268,213,[NO TEXT],0
Cars163.png,220,173,360,200,LR33 TEE,1
Cars164.png,160,144,239,183,GT,1
Cars165.png,209,217,293,254,TN21AU 1153,1
Cars166.png,148,123,201,150,IM A CAR,1
Cars167.png,176,254,327,285,15-LK-10898,1
Cars168.png,82,95,137,125,2222,0
Cars169.png,114,79,229,101,PRIV ATE,1
Cars17.png,306,188,351,205,YSX 213,1
Cars170.png,318,190,346,224,983,1
Cars171.png,192,146,242,167,BJR216,1
Cars172.png,173,209,301,239,C 09,0
Cars173.png,170,118,252,163,WMY-9051,1
Cars174.png,283,159,306,168,[NO TEXT],0
Cars175.png,295,237,456,367,DL!N4268,1
Cars178.png,126,180,173,205,522 92Z,1
Cars179.png,72,160,132,197,4SZW590,1
Cars18.png,313,286,405,311,M666YOB,1
Cars180.png,151,115,304,187,MPEACHW,1
Cars181.png,69,195,128,209,JHIIHAD,1
Cars182.png,168,139,247,159,VI2LAF,1
Cars183.png,97,138,234,170,BRIT 0001,1
Cars184.png,163,146,212,159,SWIFT,1
Cars185.png,154,147,293,194,[NO TEXT],0
Cars186.png,175,152,242,175,26-SPF-4,1
Cars187.png,96,116,287,155,ALR 486,1
Cars188.png,32,184,43,193,[NO TEXT],0
Cars189.png,285,241,423,286,CH01AN0001,1
Cars19.png,148,195,221,232,AFR.2011,1
Cars190.png,149,210,245,235,KL54A2670,1
Cars191.png,96,189,199,217,KA03AB3380,1
Cars192.png,108,150,211,173,E4 GLE,1
Cars193.png,306,193,344,214,669VSM,0
Cars194.png,267,170,316,183,TN 21 BZ GT68,0
Cars195.png,450,223,526,244,Ciaz,1
Cars196.png,105,128,130,140,[NO TEXT],0
Cars197.png,222,176,359,201,LR33TEE,1
Cars198.png,166,225,273,246,MH01AV8866,1
Cars199.png,59,88,310,158,MHO1AE8017,1
Cars2.png,229,176,270,193,[NO TEXT],0
Cars20.png,18,135,48,152,[NO TEXT],0
Cars200.png,95,189,195,217,KA03AB3380,1
Cars201.png,216,171,367,208,LR33 TEE,1
Cars202.png,197,135,249,159,KWID,1
Cars203.png,116,112,271,165,CZ17 KOD,1
Cars205.png,156,162,221,199,NOTACOP,1
Cars206.png,95,185,164,206,HR 26 BU 0380,1
Cars207.png,254,229,372,264,K817GR,1
Cars208.png,142,123,232,169,V-8,1
Cars209.png,359,172,387,186,[NO TEXT],0
Cars21.png,191,165,255,192,!RQ,1
Cars210.png,54,90,315,159,MHO1AE8017,1
Cars211.png,28,64,387,235,F 65022,1
Cars212.png,105,94,290,141,KL 65 H 4383,1
Cars213.png,150,160,233,194,DID2,0
Cars214.png,188,121,214,134,[NO TEXT],0
Cars215.png,92,105,162,123,CH 9984,1
Cars216.png,205,214,280,262,OPEC LOL,1
Cars217.png,149,196,223,231,AFR-2011,1
Cars218.png,0,166,27,188,25Z5,1
Cars219.png,127,172,462,236,KA03 MG 2784,1
Cars22.png,207,104,260,116,YAMRAJ,1
Cars220.png,142,168,188,182,PG55585,1
Cars221.png,102,122,125,135,[NO TEXT],0
Cars222.png,178,158,235,170,26-SPF-4,1
Cars223.png,347,231,407,249,VHB-431,1
